rank,url,gsc_impressions,avg_position,scene,batch,action
1,/175-c-to-f.html,17811,12.6,oven,P0,先决定保留.html或先创建新页；不可直接301到当前404
2,/170-c-to-f.html,4422,39.0,oven,P1,旧内容对照后精做
3,/105-c-to-f.html,3361,50.5,cooking,P1,补充场景与食品安全来源
4,/36-7-c-to-f.html,3016,34.0,body temperature,P1,健康内容与结构化数据审查
5,/42-c-to-f.html,3008,43.0,health,P1,谨慎非诊断表达
6,/44-c-to-f.html,2300,40.3,health,P1,核验婴幼儿阈值来源
7,/fahrenheit-to-celsius/110-f-to-c.html,2255,49.7,oven,P1,独立检查子目录迁移规则
8,/230-c-to-f.html,2237,25.2,oven,P1,高温烘焙与fan对照
9,/210-c-to-f.html,1823,22.6,oven,P1,先建新页再考虑301
10,/120-c-to-f.html,1858,43.3,cooking,P1,补充准确场景和来源
11,/fahrenheit-to-celsius/103-f-to-c.html,2036,41.9,cooking,P2,检查内容与迁移
12,/fahrenheit-to-celsius/100-f-to-c.html,1854,74.0,cooking,P2,检查内容与迁移
13,/60-c-to-f.html,1789,52.8,cooking,P2,检查安全场景
14,/46-c-to-f.html,1672,35.2,oven,P2,烘焙场景
15,/48-c-to-f.html,1439,20.0,oven/body temperature,P2,双意图拆分并谨慎改造
16,/38-4-c-to-f.html,1174,36.2,body temperature,P2,来源与非诊断声明
17,/76-c-to-f.html,931,29.7,cooking,P2,按首批ROI决定
18,/150-c-to-f.html,797,66.7,oven,P2,按首批ROI决定
19,/73-c-to-f.html,755,41.5,cooking,P2,按首批ROI决定
20,/220-c-to-f.html,667,60.5,oven,P2,按首批ROI决定
21,/38-1-c-to-f.html,643,33.4,body temperature,P2,来源与非诊断声明
22,/250-c-to-f.html,610,48.6,oven,P2,按首批ROI决定
23,/36-9-c-to-f.html,585,18.0,body temperature,P2,优先检查旧内容和迁移状态
24,/fahrenheit-to-celsius/190-f-to-c.html,570,38.4,oven,P2,检查内容与迁移
25,/38-5-c-to-f.html,528,56.9,body temperature,P2,来源与非诊断声明
26,/45-c-to-f.html,501,48.2,oven/weather,observe,补充数据后决定
27,/37-4-c-to-f.html,485,55.3,body temperature,observe,补充数据后决定
28,/43-c-to-f.html,460,53.0,oven,observe,补充数据后决定
29,/37-6-c-to-f.html,434,36.9,body temperature,observe,补充数据后决定
30,/38-2-c-to-f.html,429,44.2,body temperature,observe,补充数据后决定
31,/36-2-c-to-f.html,299,40.2,body temperature,observe,补充数据后决定
32,/190-c-to-f.html,287,37.3,oven,observe,补充数据后决定
33,/fahrenheit-to-celsius/39-f-to-c.html,233,35.4,body temperature,observe,补充数据后决定
34,/37-1-c-to-f.html,159,40.7,body temperature,observe,补充数据后决定
35,/90-c-to-f.html,116,71.0,oven,observe,补充数据后决定
36,/36-4-c-to-f,2153,14.2,body temperature,keep,已是Next页面；内容/来源/结构化数据审查
