阶段,优先级,对象,任务,具体执行,验收标准,注意事项
0-14天,P0,全站,建立URL台账,汇总pages/*.tsx、public/*.html、线上sitemap、GSC page、canonical、HTTP状态、GA4和广告状态,重点URL逐一有唯一处置决定,不能把所有html统一迁移
0-14天,P0,175-c-to-f.html,确定正式URL策略,选择保留.html或先创建无后缀页面后迁移；同步301、canonical、sitemap、内链和GSC监控,正式URL返回200且所有非正式版本有明确301/404策略,当前.html是200而无后缀是404
0-14天,P0,36-4-c-to-f,复核已迁移页面,检查301、canonical、JSON-LD、体温内容、来源和广告覆盖,301链路和正文/结构化数据一致,健康内容需非诊断表述
0-14天,P0,sitemap.xml,修复正式页面集合,把正式保留的静态高价值页纳入sitemap或完成迁移后纳入新路由,线上sitemap与URL台账一致,当前约63个URL且不含175
0-14天,P0,GA4/GSC,复核数据属性与时间区间,核对GA4 G-7KGQPN84Z6、property 505829573、GSC property、hostname、Consent、过滤器和页面路径,解释GA4自然搜索断崖与GSC低点击差异,不能直接把差异当算法惩罚
0-14天,P1,构建流程,修复lint并完成完整build,将next lint迁移到兼容Next 16的ESLint命令，增加低内存构建方案,lint通过且build完整退出0,当前lint失败且build在page data阶段中断
15-45天,P1,175-c-to-f.html,优化高曝光静态页,保留其正确首屏答案，补充独立烘焙价值、相关链接、复制/转换事件、移动端布局和广告间距,28-42天CTR/互动改善且无政策问题,不要先改到当前404无后缀路径
15-45天,P1,36-4-c-to-f,提高体温页面可信度,补充作者/审阅责任、测量方法、范围、来源、非诊断声明并核对FAQ/HowTo JSON-LD,正文与JSON-LD一致且健康语气谨慎,不把转换工具包装成诊断工具
15-45天,P1,48/36.9/230页面,按曝光和意图改造,首屏直接回答，分别覆盖日常温度、体温或oven场景，统一内链和模板,重点查询的CTR和排名改善,先分组实验不要全站同时变更
15-45天,P1,Analytics,新增业务事件,记录conversion_completed、copy_result、reverse_conversion_used、chart_download、related_page_click,GA4可按页面/国家/设备查看漏斗,旧静态脚本和Next组件需分别接入
15-45天,P1,AdSense,建立页面类型广告基线,分别核查首页、静态数值页、Next数值页、图表页、长内容页的广告数量、viewability、CLS、RPM,每类页面有基准且无误触/遮挡,初始HTML未检测到广告不等于最终无广告
46-90天,P1,Next/HTML体系,选择并执行单一发布体系,建议长期统一Next.js；先迁移小批量、验证200/301/canonical/sitemap/GA4/广告后再扩大,迁移批次可回滚且GSC无异常,不能在无台账时大规模迁移
46-90天,P1,Oven & Baking hub,建设烘焙主题集群,连接160/170/175/180/200/230以及fan oven/gas mark/air fryer,hub和页面互链且每页有独立任务,避免批量同质数值页
46-90天,P2,Reference hub,升级图表/PDF/公式资产,保持HTML与PDF一致，增加打印/下载追踪和来源/更新时间,下载和相关页面点击可测量,广告不得靠近下载按钮造成误触
46-90天,P2,质量治理,清理重复或低价值页面,按曝光、点击、内容差异、实现类型和用户任务合并/改进/下线,低价值页面有处置记录,不要仅改日期制造新鲜度
