id,Topic,Applies to,Audience,Measurement site,Setting,Rule,From (°C),To (°C),From (°F),To (°F),Offset (°C),Duration (days),Label,What it means / what to do,Source,Source URL,Verbatim fragment,Note,Checked on
normal-range-general,normal_range,adults,any,core,home,range,36.5,37.5,97.7,99.5,,,Normal range 36.5–37.5 °C (97.7–99.5 °F),Within the range StatPearls gives for a normal value.,StatPearls (NCBI Bookshelf) — Hypothermia,https://www.ncbi.nlm.nih.gov/books/NBK545239/,The normal value ranges from 36.5 °C to 37.5 °C.,°F values are the exact conversions; the source publishes °C only.,2026-08-27
normal-range-baby-nhs,normal_range,babies and children,child,unspecified,home,exact,36.4,36.4,97.5,97.5,,,About 36.4 °C (97.5 °F),NHS describes this as a normal temperature in babies and children; it can vary slightly.,NHS — How to take your baby's temperature,https://www.nhs.uk/baby/health/how-to-take-your-babys-temperature/,"A normal temperature in babies and children is about 36.4C, but this can vary slightly.",NHS does not publish a normal range for adults; it only says normal temperature differs per person and changes during the day.,2026-08-27
mean-reading-oral,mean_by_site,"adults (9,227 measurements)",any,oral,reference,range,35.73,37.41,96.31,99.34,,,Mean 36.57 °C; mean ± 2 SD 35.73–37.41 °C,"Use the interval, not 37.0, when judging whether a single oral reading is unusual.","StatPearls — Physiology, Fever (cross-checked against PMC6456186)",https://www.ncbi.nlm.nih.gov/books/NBK562334/,oral is 36.57 degrees C (97.83 degrees F),c_min/c_max are mean ± 2 SD from the underlying review; the mean is in the label.,2026-08-27
mean-reading-rectal,mean_by_site,"adults (9,227 measurements)",any,rectal,reference,range,36.32,37.76,97.38,99.97,,,Mean 37.04 °C; mean ± 2 SD 36.32–37.76 °C,Rectal readings run higher than oral ones; do not apply an oral threshold to them.,PMC6456186 — systematic review of normal body temperature,https://pmc.ncbi.nlm.nih.gov/articles/PMC6456186/,rectal mean 37.04 °C,,2026-08-27
mean-reading-tympanic,mean_by_site,"adults (9,227 measurements)",any,ear (tympanic),reference,range,35.76,37.52,96.37,99.54,,,Mean 36.64 °C; mean ± 2 SD 35.76–37.52 °C,"Measured mean is close to the oral mean, despite the '+0.6 °C' rule of thumb in some handbooks.","PMC6456186 / StatPearls — Physiology, Fever",https://pmc.ncbi.nlm.nih.gov/articles/PMC6456186/,tympanic is 36.64 degrees C (97.95 degrees F),"Where the 'ear = oral + 0.6 °C' shortcut and the measured means disagree, this dataset keeps both and says so.",2026-08-27
mean-reading-axillary,mean_by_site,"adults (9,227 measurements)",any,axillary (armpit),reference,range,35.01,36.93,95.02,98.47,,,Mean 35.97 °C; mean ± 2 SD 35.01–36.93 °C,A healthy adult armpit reading can legitimately be below 36 °C — so 'under 36' is not hypothermia.,"StatPearls — Physiology, Fever (cross-checked against PMC6456186)",https://www.ncbi.nlm.nih.gov/books/NBK562334/,The average axillary temperature reading is 35.97 degrees C (96.75 degrees F),This row is the reason the dataset does not define a 36 °C hypothermia line.,2026-08-27
offset-rectal-vs-oral,measurement_offset,anyone,any,rectal vs oral,home,offset,,,,,0.6,,+0.6 °C (1.0 °F) vs oral,Add roughly 0.6 °C to an oral fever threshold when reading rectally.,"Merck Manual, Professional Version — Fever",https://www.merckmanuals.com/professional/infectious-diseases/biology-of-infectious-disease/fever,"Rectal and tympanic membrane temperatures are about 0.6 °C higher than oral temperatures, whereas skin temperatures are about 0.6 °C lower.","Merck gives one number (0.6 °C), not a 0.3–0.6 °C range; some patient leaflets give the range.",2026-08-27
offset-tympanic-vs-oral,measurement_offset,anyone,any,ear (tympanic) vs oral,home,offset,,,,,0.6,,+0.6 °C (1.0 °F) vs oral,"Treat an ear reading as about 0.6 °C above an oral one, but expect wider scatter.","Merck Manual, Professional Version — Fever",https://www.merckmanuals.com/professional/infectious-diseases/biology-of-infectious-disease/fever,Rectal and tympanic membrane temperatures are about 0.6 °C higher than oral temperatures,The measured means in this dataset put ear and oral within 0.1 °C of each other — the two statements come from different kinds of source.,2026-08-27
offset-skin-vs-oral,measurement_offset,anyone,any,skin / forehead vs oral,home,offset,,,,,-0.6,,−0.6 °C (1.0 °F) vs oral,Forehead and skin readings run low; Merck calls crystal/skin monitoring insensitive and not recommended for this purpose.,"Merck Manual, Professional Version — Fever",https://www.merckmanuals.com/professional/infectious-diseases/biology-of-infectious-disease/fever,whereas skin temperatures are about 0.6 °C lower,NHS additionally warns that some infrared forehead devices do not meet UK regulations.,2026-08-27
fever-nhs-adult,fever_definition,adults,adult,unspecified,home,gte,38,,100.4,,,,38.0 °C (100.4 °F) or higher = fever,The public-health line most UK services use when telling you to act.,NHS — Fever in adults,https://www.nhs.uk/symptoms/fever-in-adults/,A high temperature is usually considered to be 38C or above. This is sometimes called a fever.,NHS publishes °C only; 100.4 °F is the exact conversion.,2026-08-27
fever-statpearls-low-grade,fever_band,anyone,any,core,home,range,37.3,38,99.1,100.4,,,Low-grade 37.3–38.0 °C (99.1–100.4 °F),Clinically a fever band; not a 'call a doctor' threshold on its own.,"StatPearls — Physiology, Fever",https://www.ncbi.nlm.nih.gov/books/NBK562334/,Low-grade: 37.3 to 38.0 C (99.1 to 100.4 F),"Published fever bands are not the same cut-offs as the NHS/Mayo advice lines; both are in this dataset, each labelled.",2026-08-27
fever-statpearls-moderate,fever_band,anyone,any,core,home,range,38.1,39,100.6,102.2,,,Moderate-grade 38.1–39.0 °C (100.6–102.2 °F),"Usually tolerated by a healthy adult; rest and fluids, watch the trend.","StatPearls — Physiology, Fever",https://www.ncbi.nlm.nih.gov/books/NBK562334/,Moderate-grade: 38.1 to 39.0 C (100.6 to 102.2 F),,2026-08-27
